"","ime","leto","stevilo","spol"
"738","Edgar",2008,6,"moski"
"739","Edham",2008,16,"moski"
"740","Edhem",2008,67,"moski"
"741","Edi",2008,603,"moski"
"742","Edib",2008,14,"moski"
"743","Edim",2008,5,"moski"
"744","Edin",2008,806,"moski"
"745","Edip",2008,9,"moski"
"746","Edis",2008,242,"moski"
"747","Edison",2008,16,"moski"
"748","Edit",2008,5,"moski"
"749","Edmir",2008,11,"moski"
"750","Edmond",2008,45,"moski"
"751","Edmund",2008,53,"moski"
"752","Edo",2008,271,"moski"
"753","Edoardo",2008,5,"moski"
"754","Edon",2008,13,"moski"
"755","Eduard",2008,118,"moski"
"756","Edvard",2008,2763,"moski"
"757","Edvard Franc",2008,6,"moski"
"758","Edvin",2008,369,"moski"
"759","Edwin",2008,5,"moski"
"760","Egidij",2008,123,"moski"
